Tab.2.1.7;;;;;;;;;;;;
;;;;;;;;;;;;
Ausgaben von Bildungseinrichtungen je Schüler/-in und Studierende/-n nach Staaten und Bildungsbereichen (ISCED 1997) in US-Dollar in umgerechneter Kaufkraftparität 1);;;;;;;;;;;;
;;;;;;;;;;;;
;;ISCED 0: Elementarbereich (für 3-Jährige und Ältere);ISCED 1: Primarbereich;ISCED 2: Sekundarbereich I;ISCED 3: Sekundarbereich II;ISCED 2/3: Sekundarbereich insgesamt;ISCED 4: Post-sekundarer, nicht-tertiärer Bereich;ISCED 5B: Tertiärbereich B;ISCED 5A/6: Tertiärbereich A und weiterführende Forschungsprogramme;ISCED 5/6: Tertiärbereich insgesamt;ISCED 5: Tertiärbereich ohne Forschungs- und Entwicklungsaktivitäten;Alle Bildungsbereiche (ohne Elementarbereich)
Staat;Jahr;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar;US-Dollar
Deutschland 5);2004;5489;4948;6082;10459;7576;10573;6413;13218;12255;7724;7802
Deutschland 5);2005;5508;5014;6200;10282;7636;10531;6938;13351;12446;7772;7872
Deutschland 5);2006;5683;5362;6632;9163;7548;8559;7352;13926;13016;7996;7925
Deutschland 5);2007;6119;5548;6851;9557;7841;8600;7394;14852;13823;8534;8270
Deutschland 5);2008;6887;5929;7509;10597;8606;8495;7693;17114;15390;9504;9115
Deutschland 5);2009;7862;6619;8130;11287;9285;8843;8192;17306;15711;9594;9779
Deutschland 5);2010;7896;7079;8747;11229;9667;9008;8419;17658;16043;9813;10228
Deutschland 5);2011;8351;7579;9247;12022;10275;9694;8891;18348;16723;10164;10904
Estland 6);1997;m;m;m;m;m;m;m;m;m;m;m
Estland 6);1998;m;m;m;m;m;m;m;m;m;m;m
Estland 6);1999;m;m;m;m;m;m;m;m;m;m;m
Estland 6);2000;m;m;m;m;m;m;m;m;m;m;m
Estland 6);2001;m;m;m;m;m;m;m;m;m;m;m
Estland 6);2002;m;m;m;m;m;m;m;m;m;m;m
Estland 6);2003;m;m;m;m;m;m;m;m;m;m;m
Estland 6);2004;1186;2894;3579;3670;3623;3717;4194;n;4552;m;3402
Estland 6);2005;1833;3384;3802;4033;3918;4417;2883;4386;3869;3867;3768
Estland 6);2006;1941;3675;3884;4831;4360;5426;3301;4462;4063;m;4126
Estland 6);2007;2232;4058;4495;5205;4869;6613;4365;5653;m;5214;4783
Estland 6);2008;3198;5579;6264;6461;6371;6327;5307;6022;m;5780;5982
Estland 6);2009;2551;5493;6225;6756;6519;7604;5186;6981;6373;3968;6210
Estland 6);2010;2533;5140;5948;6834;6444;7923;7361;6080;6501;3909;6126
Estland 6);2011;2618;5328;6009;6688;6389;8333;6628;8450;7868;4827;6563
Finnland 2);1997;6340;4639;4613;5463;5065;m;6902;7192;7145;m;m
Finnland 2);1998;3665;4641;4616;5515;5111;y;5776;7582;7327;m;m
Finnland 2);1999;3855;4138;6390;5479;5863;y;4500;8474;8114;m;m
Finnland 2);2000;3944;4317;6737;5641;6094;y;4208;8426;8244;m;6003
Finnland 2);2001;3640;4708;7496;5938;6537;y;4304;11143;10981;7061;6751
Finnland 2);2002;3929;5087;8197;6455;7121;y;3185;11833;11768;7332;7304
Finnland 2);2003;4069;5321;8608;6654;7402;y;3985;12060;12047;7506;7578
Finnland 2);2004;4282;5581;8918;6555;7441;y;8729;12507;12505;7697;7798
Finnland 2);2005;4395;5557;8875;6441;7324;y;n;12285;12285;7582;7711
Finnland 2);2006;4544;5899;9241;6585;7533;y;n;12845;12845;7951;8048
Finnland 2);2007;4789;6234;9730;6806;7829;y;n;13566;13566;8178;8440
Finnland 2);2008;5334;7092;10950;7461;8659;y;n;15402;15402;9592;9463
Finnland 2);2009;5553;7368;11338;7739;8947;y;n;16569;16569;10085;9910
Finnland 2);2010;5372;7624;11705;7912;9162;y;n;16714;16714;9802;10157
Finnland 2);2011;5700;8159;12545;8467;9792;y;n;18002;18002;10973;10905
Frankreich;1997;3462;3621;6087;7167;6564;5163;7683;7040;7177;m;m
Frankreich;1998;3609;3752;6133;7191;6605;m;7636;7113;7226;m;m
Frankreich;1999;3901;4139;6657;7766;7152;5839;8458;7709;7867;m;m
Frankreich;2000;4119;4486;7076;8334;7636;6207;8898;8230;8373;m;6708
Frankreich;2001;4323;4777;7491;8884;8107;6529;9378;8689;8837;6965;7124
Frankreich;2002;4512;5033;7820;9291;8472;6897;9801;9132;9276;7302;7467
Frankreich;2003;4744;4939;7603;9992;8653;5195;8925;11303;10704;7330;7807
Frankreich;2004;4938;5082;7837;9883;8737;4081;9113;11195;10668;7372;7880
Frankreich;2005;4817;5365;7881;10311;8927;4488;9483;11486;10995;7673;8101
Frankreich;2006;4995;5482;8265;10655;9303;m;9714;12180;11568;8016;8428
Frankreich;2007;5527;6044;8339;11082;9532;m;10632;13467;12773;9001;8932
Frankreich;2008;5787;6267;8816;12087;10231;m;11461;14945;14079;9854;9562
Frankreich;2009;6185;6373;9111;12809;10696;m;12102;15494;14642;10042;9913
Frankreich;2010;6362;6622;9399;12874;10877;m;12283;15997;15067;10309;10182
Frankreich;2011;6615;6917;9668;13071;11109;m;12554;16328;15375;10470;10454
Griechenland 2)3)6);1997;y;2351;y;y;2581;183;3848;4045;3990;m;m
Griechenland 2)3)6);1998;y;2368;y;y;3287;2773;3232;4521;4157;m;m
Griechenland 2)3)6);1999;y;2176;y;y;2904;5415;3439;4606;4260;m;m
Griechenland 2)3)6);2000;y;3318;y;y;3859;1400;2889;3643;3402;m;3494
Griechenland 2)3)6);2001;y;3299;y;y;3768;1155;2373;5188;4280;3534;3680
Griechenland 2)3)6);2002;y;3803;y;y;4058;2958;2840;5646;4731;4372;4136
Griechenland 2)3)6);2003;y;4218;y;y;4954;4181;2602;6071;4924;3757;4686
Griechenland 2)3)6);2004;y;4595;y;y;5213;5688;2549;7199;5593;4521;5135
Griechenland 2)3)6);2005;y;5146;y;y;8423;7266;3417;7661;6130;4928;5692
Griechenland 2)3)6);2006;y;m;y;y;m;m;m;m;m;m;m
Griechenland 2)3)6);2007;m;m;m;m;m;m;m;m;m;m;m
Griechenland 2)3)6);2008;m;m;m;m;m;m;m;m;m;m;m
Griechenland 2)3)6);2009;y;m;y;y;m;m;m;m;m;m;m
Griechenland 2)3)6);2010;m;m;m;m;m;m;m;m;m;m;m
Griechenland 2)3)6);2011;m;m;m;m;m;m;m;m;m;m;m
Irland 2)6);1997;2559;2574;y;y;3864;3783;y;y;7998;m;m
Irland 2)6);1998;2555;2745;y;y;3934;4361;y;y;8522;m;m
Irland 2)6);1999;3386;3018;4401;4362;4383;4168;y;y;9673;m;m
Irland 2)6);2000;2863;3385;4625;4655;4638;4234;y;y;11083;m;5016
Irland 2)6);2001;4026;3743;5214;5285;5245;4783;y;y;10003;8086;5294
Irland 2)6);2002;m;4180;5698;5758;5725;5978;y;y;9809;7721;5711
Irland 2)6);2003;m;4760;6329;6428;6374;5759;y;y;9341;7223;6118
Irland 2)6);2004;4948;5422;6943;7309;7110;5169;y;y;10211;7445;6713
Irland 2)6);2005;5345;5732;7352;7680;7500;5811;y;y;10468;7386;7108
Irland 2)6);2006;6569;6337;8964;9024;8991;6212;y;y;11832;8407;8092
Irland 2)6);2007;m;6901;9207;9575;9375;6570;y;y;12631;8907;8628
Irland 2)6);2008;m;7795;10583;11205;10868;7571;y;y;16284;11651;10082
Irland 2)6);2009;m;8219;11069;12731;11831;9047;y;y;16420;11256;10713
Irland 2)6);2010;m;8384;11477;11265;11380;10394;y;y;16008;11512;10685
Irland 2)6);2011;m;8520;11442;11576;11502;11636;y;y;16095;11938;10857
Island 2)6);1997;3591;m;m;m;m;m;m;m;m;m;m
Island 2)6);1998;m;m;m;m;m;m;m;m;m;m;m
Island 2)6);1999;m;m;m;m;m;m;m;m;m;m;m
Island 2)6);2000;m;5854;6705;6378;6518;m;m;7548;7994;m;6446
Island 2)6);2001;m;6373;7123;7369;7265;m;8067;7671;7674;m;7101
Island 2)6);2002;m;7171;7532;7001;7229;y;12869;8232;8251;m;7548
Island 2)6);2003;6781;7752;7475;6459;6898;y;m;8023;8023;5809;7438
Island 2)6);2004;6114;8434;8284;7330;7721;y;y;y;8881;m;8264
Island 2)6);2005;6800;9254;8985;8004;8411;y;y;y;9474;m;8931
